temp, humidity, soilMoisture
27.5, 60.3, 90.9
27.5, 60.4, 90.9
27.5, 60.4, 90.8
27.5, 60.3, 90.8
27.5, 60.2, 90.8
27.5, 60.1, 90.8
27.5, 59.4, 90.8
27.5, 58.6, 90.8
27.4, 58.7, 90.8
27.1, 58.0, 90.8
27.3, 58.4, 90.8
27.3, 58.4, 90.7
27.2, 58.1, 90.7
27.2, 58.0, 90.7
27.1, 57.8, 90.7
27.1, 57.6, 90.7
27.0, 57.4, 90.7
26.9, 57.7, 90.7
26.9, 58.2, 90.7
26.9, 57.9, 90.7
26.8, 57.7, 90.7
26.8, 57.4, 90.7
26.7, 57.4, 90.7
26.7, 57.7, 90.7
26.7, 57.7, 90.7
26.7, 57.8, 90.6
26.6, 57.8, 90.6
26.6, 57.9, 90.6
26.6, 57.8, 90.6
26.6, 57.5, 90.7
26.6, 57.7, 90.7
26.6, 57.6, 90.7
26.6, 57.7, 90.7
26.5, 57.8, 90.6
26.5, 58.0, 90.6
26.5, 57.9, 90.6
26.5, 58.0, 90.6
26.5, 58.2, 90.6
26.5, 58.4, 90.6
26.5, 58.2, 90.5
26.6, 58.0, 90.5
26.6, 57.9, 90.5
26.5, 57.8, 90.5
26.5, 57.8, 90.5
26.5, 57.8, 90.5
26.5, 57.5, 90.5
26.3, 57.0, 90.5
26.5, 57.2, 90.5
26.4, 57.2, 90.5
26.4, 57.3, 90.5
26.4, 57.6, 90.4
26.4, 57.6, 90.4
26.4, 57.4, 90.4
26.4, 57.3, 90.4
26.4, 57.3, 90.4
26.4, 57.6, 90.3
26.4, 57.5, 90.3
26.4, 57.6, 90.3
26.4, 57.5, 90.1
26.9, 57.2, 90.1
26.9, 57.1, 90.1
26.9, 57.3, 90.1
26.9, 57.1, 90.1
26.9, 56.5, 90.1
26.8, 56.7, 90.1
26.8, 56.6, 90.1
26.7, 56.5, 90.0
26.7, 56.4, 90.0
26.6, 56.5, 90.0
26.6, 56.7, 90.0
26.6, 56.5, 90.0
26.5, 56.4, 90.0
26.5, 56.4, 90.0
26.5, 56.2, 90.0
26.5, 55.9, 90.0
26.4, 55.9, 90.0
26.4, 56.0, 90.0
26.4, 56.1, 90.0
26.4, 56.2, 90.0
26.3, 56.3, 90.0
26.3, 56.5, 90.0
26.3, 56.6, 90.0
26.2, 56.6, 90.0
26.2, 56.5, 90.0
26.2, 56.6, 90.0
26.2, 56.5, 90.0
26.2, 56.5, 90.0
26.1, 56.5, 90.0
26.1, 56.5, 90.0
26.1, 56.5, 90.0
26.2, 56.4, 90.0
26.2, 56.3, 90.0
26.2, 56.2, 90.0
26.2, 56.7, 90.0
26.2, 56.9, 89.9
26.2, 57.0, 89.9
26.2, 57.2, 89.9
26.2, 57.4, 89.9
26.3, 57.5, 89.9
26.3, 57.1, 89.9
26.2, 56.7, 89.9
26.3, 56.6, 89.9
26.3, 56.7, 89.9
26.4, 56.8, 89.9
26.4, 56.5, 89.9
26.4, 56.4, 89.9
26.4, 56.3, 89.9
26.4, 56.2, 89.9
26.3, 56.3, 89.9
26.3, 56.6, 89.9
26.2, 56.9, 89.8
26.2, 57.2, 89.8
26.2, 57.1, 89.8
26.1, 57.1, 89.8
26.1, 57.0, 89.8
26.1, 56.9, 89.8
26.1, 56.9, 89.9
26.1, 57.1, 89.9
26.2, 57.1, 89.9
26.2, 57.0, 89.9
26.3, 56.8, 89.8
26.3, 56.6, 89.8
26.3, 56.3, 89.8
26.4, 56.1, 89.8
26.4, 55.8, 89.8
26.4, 55.7, 89.8
26.4, 55.8, 89.8
26.4, 55.9, 89.8
26.3, 55.9, 89.8
26.4, 55.7, 89.8
26.4, 55.4, 89.8
26.3, 55.4, 89.8
26.3, 55.2, 89.8
26.2, 55.6, 89.8
26.2, 56.2, 89.8
